571.T2_RF6_01_33131,596.T2_RH5_01_33156,578.T2_RG1_01_33139,588.T2_RG9_01_33147,599.T2_RH8_01_33159,602.T2_RH11_01_33162,597.T2_RH6_01_33157,589.T2_RG10_01_33148,573.T2_RF8_01_33133,575.T2_RF10_01_33135,576.T2_RF11_01_33136,581.T2_RG3_01_33141,600.T2_RH9_01_33160,584.T2_RG6_01_33144,601.T2_RH10_01_33161,583.T2_RG5_01_33143,595.T2_RH4_01_33155,590.T2_RG11_01_33149,570.T2_RF5_01_33130,574.T2_RF9_01_33134,586.T2_RG8_01_33146,577.T2_RF12_01_33137,603.T2_RH12_01_33163,582.T2_RG4_01_33142,593.T2_RH2_01_33153,580.T2_RG2_01_33140,594.T2_RH3_01_33154,585.T2_RG7_01_33145,598.T2_RH7_01_33158,591.T2_RG12_01_33150,572.T2_RF7_01_33132,592.T2_RH1_01_33152
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40331,0,6138,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3286,0
0,0,0,0,0,35615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,26806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55602,0,12911,0,0,2845,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7589,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,57275,0,22080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5776
0,0,39593,0,0,0,0,0,23251,21966,0,0,0,0,0,0,0,0,21803,0,11725,0,10618,23973,0,0,0,0,0,0,21716,0
0,0,0,0,0,0,2257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17643,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17211,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9471,0,0,0,0,0,0,0,0,0,10262,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,5924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5921,0,0,0,0,0,0,0,0,0,0
0,0,5430,0,0,0,0,0,0,0,0,13416,0,0,0,0,0,0,0,4937,6971,0,0,0,0,0,0,3924,0,0,5375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781,0,16738,0,0,0,0,0,14991,14301,5582,0,0,4068,0,14851,0,0,0,4727,14651,3059,5192,15210,0,4044,0,8851,0,0,14773,0
